source,author,title,description,content,publishedAt,url
Wired,Grace Browne,The Multiple Ways Climate Change Threatens to Make Migraines Worse,"Migraine sufferers are often triggered by the weather, and research suggests warming temperatures and more extreme weather events worsen attacks.","Migraines have long had an intimate relationship with the elements. Alongside stress and hormones, fluctuations in meteorological conditions are one of the most commonly cited triggers for an attack.… [+3310 chars]",2024-09-20T09:00:00Z,https://www.wired.com/story/climate-change-could-make-migraines-worse/
Wired,Dennis Mersereau,Why Super Typhoons Like Yagi Are More Common Than You’d Think,"Unlike in the Atlantic, there is little to stop high-intensity storms forming in Southeast Asia, and climate change is making conditions even more perilous.","The years first super typhoon erupted over the steamy waters of the western Pacific Ocean on Thursday as Yagi churned toward an eventual landfall in southern China.
Having formed as a tropical cyclo… [+1743 chars]",2024-09-05T21:32:54Z,https://www.wired.com/story/why-super-typhoons-like-yagi-are-more-common-than-youd-think/
Wired,Chris Baraniuk,The Cost of Lightning,"Exactly how climate change will impact lightning isn’t clear, but governments, public bodies, and the military are prepping for stormier weather.",It was the terrible prospect of lightning one day striking the historic windmill that troubled Andrew Farrell. A bolt five times hotter than the surface of the sun instantly turning moisture in one o… [+3260 chars],2024-09-11T11:30:00Z,https://www.wired.com/story/lightning-protection-damage-climate-change-extreme-weather/
Wired,Will Knight,The United Nations Wants to Treat AI With the Same Urgency as Climate Change,A UN report proposes that the organization take a much more active role in the monitoring and oversight of AI.,"A United Nations report released today proposes having the international body oversee the first truly global effort for monitoring and governing artificial intelligence.
The report, produced by the … [+3067 chars]",2024-09-19T05:00:00Z,https://www.wired.com/story/united-nations-artificial-intelligence-report/
BBC News,,Europe’s deadly floods are glimpse of future climate,A new study shows that the record-breaking rainfall was made more likely and intense by climate change.,"Local residents rescue a woman from rising flood waters in the Romanian village of Slobozia Conachi
Central Europe's devastating floods were made much worse by climate change and offer a stark glimp… [+5380 chars]",2024-09-25T03:06:20Z,https://www.bbc.com/news/articles/cn5zx2zx5xvo
BBC News,,Somalia: From Crisis to Renewal,"Climate change in Somalia is acting as a kind of 'chaos multiplier', making existing conflicts even more acute. So how is the country rising to the challenge?","Climate change in Somalia is acting as a kind of 'chaos multiplier', making existing conflicts even more acute. So how is the country rising to the challenge? More",2024-09-17T23:01:00Z,https://www.bbc.co.uk/iplayer/episode/m0023bvd/somalia-from-crisis-to-renewal
Gizmodo.com,Rose Pastore,Kamala Harris’s Patriotic Spin on Climate Action,A study suggests that framing the issue in terms of American values holds promise.,"This story was originally published by Grist. Sign up for Grist’s weekly newsletter here.
Freedom is often a Republican talking point, but Vice President Kamala Harris is trying to reclaim the conce… [+5869 chars]",2024-09-13T13:45:56Z,https://gizmodo.com/kamala-harriss-patriotic-spin-on-climate-action-2000498462
Ars Technica,Howard Lee,How did volcanism trigger climate change before the eruptions started?,New dating of a major ancient warming shows warming started before major eruptions.,"Enlarge/ Loads of lava: Kasbohm with a few solidified lava flows of the Columbia River Basalts.
3
As our climate warms beyond its historical range, scientists increasingly need to study climates de… [+4030 chars]",2024-09-08T11:00:53Z,https://arstechnica.com/science/2024/09/how-did-volcanism-trigger-climate-change-before-the-eruptions-started/
Wired,Richard Schiffman,Breadfruit Is Here to Save the World,"This calorie-rich, nutrient-dense, and climate-resilient crop has the power to step in for more common staples that can’t handle global warming.","Warming temperatures are making farming much more difficult in the tropics. Food systems across island nations in the Caribbean and Pacific are particularly vulnerable, being hit hard by a combinatio… [+3131 chars]",2024-09-11T11:00:00Z,https://www.wired.com/story/breadfruit-caribbean-pacific-climate-change-super-food/
The Verge,Justine Calma,Summer 2024 is already the hottest on record,"Heat has been record-breaking this summer, and it’s not over yet.","Spectators and cyclists during a heatwave coinciding with the Paris Olympics on August 4th, 2024. | Photo by Magali Cohen / Hans Lucas / AFP via Getty Images

 

 The Northern Hemisphere just experi… [+2862 chars]",2024-09-06T15:38:38Z,https://www.theverge.com/2024/9/6/24237451/summer-2024-is-already-the-hottest-on-record
